token,count
"""{rvs_on}{SHIFT--}                   {SHIFT--}""",4
"""{up}{cyan}""",4
ee,4
ab$,4
h0,4
21000,4
es,4
"""star-wars3""",4
"""{clr}{down}{down}poke44,24:poke7168,0:new""",4
"""@....................""",4
590,4
"""{red}{down}{right}{right}{right}{right}{right}{right}""",4
38598,4
5040,4
sa,4
"""{down}{down}lO""",4
** lutz blomberg 1984  **,4
** (c) by frogsoft ltd.**,4
808,4
ps%,4
mc,4
5100,4
th,4
7586,4
"""{cyan}""",4
jc,4
7866,4
v$,4
w4,4
"""{down}{right}{right}{rvs_on}{red}your time:""",4
ember to buy the new frogsoft games!,4
1002,4
"""{down}{rvs_on}       {green}bye bye ...!{home}{black}""",4
6143,4
"""{clr}{white}einen moment bitte....""",4
od,4
640,4
"""dddddddddddddddddddddd""",4
298,4
"""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{black}ships""",4
"""{down}{down}{down}{yellow}  mno{rvs_on}-soft wuenscht    ihnen viel sp{rvs_off}@{rvs_on}ss &      viele punkte !!""",4
pl%,4
o2,4
o1,4
1240,4
244,4
8072,4
2030,4
7670,4
559,4
NOT,4
4130,4
sf,4
""" {yellow}s{red}   l   l   """,4
"""    {white}b{red} l   l     """,4
026,4
"""{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}{del}",4
gj,4
"""    l         """,4
"""       {white}b{red}     l """,4
"""            l  {white}b""",4
"""_""",4
"""    l     l          """,4
"""            l   l """,4
"""       {white}b{red}   l""",4
518,4
"""{down}{down}{down}{rvs_on}{white} bevor sie's nochmal   probieren, relaxen    sie noch ein wenig!!""",4
"""{down}{down}{down}{rvs_on}{blue} sie haben soeben alle ihre{right}leben verloren !""",4
"""{home}{down}{down}{down}{down}{rvs_on}{yellow} wer nicht hoeren      will, muss fuehlen!""",4
#,4
"""{black}{home}""",4
"""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{white}ships""",4
 *             *,4
zv,4
""",x""",4
gh,4
""",y""",4
""" l               """,4
""" {yellow}s{red}           l """,4
"""  l  {yellow}s{red}    l    """,4
"""  l              l""",4
"""    l   {white}b{red}   """,4
"""{down}{right}{right}{rvs_on}{yellow}your score:""",4
v6,4
8027,4
wa$,4
770,4
kp,4
zk,4
"""{home}{black}""",4
20100,4
2500,4
"""{blue}""",4
8005,3
"""q""",3
1802,3
7780,3
505,3
ef,3
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",3
"""#""",3
4600,3
u$,3
20300,3
3500,3
8050,3
fa%,3
14240,3
"""@""",3
19990,3
1300,3
1220,3
810,3
7756,3
45001,3
7932,3
7424,3
830,3
"""{rvs_on}{cyan}""",3
k3,3
je,3
jw,3
js,3
"""a  a                 a""",3
"""$""",3
><,3
41100,3
8001,3
7849,3
"""a    a               a""",3
7677,3
"""aaaaaaaaaaaaaaaaaaa  a""",3
10015,3
13200,3
ad%,3
"""a  a    a a a a a    a""",3
jn,3
.75,3
"""{rvs_on}{black}{clr}    spielanleitung    """,3
o%,3
316,3
38397,3
tn,3
zg,3
1020,3
ek,3
zx,3
40400,3
218,3
.3,3
3090,3
71,3
jb,3
ja,3
"""{up}{left}**{down}{left}{left}**""",3
"""W""",3
"""*{left}""",3
"""{clr}{rvs_on}drucker einschalten ! {rvs_off}""",3
710,3
"""x""",3
7922,3
"""!""",3
37150,3
"""{home}{down}{down}{down}{down}{down}""",3
"""{home}{down}{down}{down}{down}{down}{down}""",3
fa$,3
.25,3
"""{down}sie haben""",3
"""cassette / disk {rvs_on}c{rvs_off}/{rvs_on}d{rvs_off}""",3
"""filename""",3
""",s,r""",3
3150,3
3200,3
1410,3
"""{left}**""",3
"""-""",3
1080,3
5050,3
"""{rvs_on} {left}""",3
"""{rvs_off} {left}""",3
7960,3
1.1,3
182,3
2170,3
"""{down}sie haben ihr haupt-""",3
1650,3
2040,3
CMD,3
"""{clr}ausgabe auf dem       {down}{rvs_on}b{rvs_off}ildschirm oder dem   {down}{rvs_on}d{rvs_off}rucker ?""",3
1120,3
"""*""",3
u1,3
8080,3
860,3
4578,3
USR,3
.13,3
15420,3
hp,3
15600,3
630,3
8098,3
109,3
"""{down}repariert.{black}""",3
50100,3
26000,3
fm,3
fl,3
.6,3
7771,3
cc,3
qw,3
38905,3
"""geh luke""",3
14430,3
9999,3
7976,3
yt,3
7440,3
"""ok hast genommen""",3
4900,3
"""2""",3
1018,3
1.5,3
"""{f3}""",3
38884,3
*             *,3
tv,3
20522,3
el,3
14500,3
2140,3
os,3
no,3
7679,3
"""{clr}{black}""",3
"""robot.zchn      """,3
7030,3
8010,3
8032,3
7723,3
"""{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}''''{rvs_on}{CBM-B}""",3
155,3
"""z""",3
p%,3
8100,3
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",3
3700,2
"""^""",2
rf%,2
8030,2
"""{red}""",2
"""{clr}{down}""",2
om,2
3400,2
"""verjagt""",2
1600,2
w$,2
1560,2
99999,2
"""(j/n)""",2
6200,2
8094,2
8139,2
480,2
648,2
en,2
ta$,2
"""du musst was trinken""",2
15030,2
7804,2
"""          {SHIFT-*}{SHIFT-*}         """,2
"""schrank""",2
"""nimm hammer""",2
"""trink""",2
7983,2
"""{home}{white}{rvs_on}{down}{down}""",2
**************,2
"""{rvs_on}{CBM-Z}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-X}""",2
***************,2
38467,2
"""{cyan}(""",2
852,2
"""<k> = kassette""",2
"""<d> = disk     """,2
ls%,2
bpl,2
php,2
bvc,2
38432,2
7712,2
861,2
38444,2
"""000300""",2
7343,2
"""{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}{CBM-+}",2
1023,2
1017,2
7703,2
1021,2
8060,2
"""{home}{down}{down}{right}{right}{right}{right}{right}{right}          """,2
tay,2
bcs,2
tax,2
"""         {red}kl""",2
1480,2
s7,2
s8,2
840,2
4503,2
"""{SHIFT--}QQQQQQQQQ  QQQQQQQQQ{SHIFT--}""",2
"""{rvs_on}           """,2
22999,2
22100,2
21500,2
22500,2
13999,2
720,2
750,2
470,2
 1983,2
"""{home}{down}{down}{right}{right}{right}{right}{right}{right} a l e r t""",2
8186,2
38443,2
"""{blue}{home}{down}{down}{down}{down}{down}""",2
s5,2
cf,2
870,2
4426,2
4428,2
pha,2
cli,2
sec,2
bmi,2
rti,2
"""{clr}{down}{down}poke44,28:poke7168,0:new""",2
clv,2
txs,2
2050,2
50300,2
4295,2
660,2
s9,2
s6,2
"""u""",2
**********************,2
12999,2
20500,2
21999,2
"""{left}{left}""",2
"""{SHIFT--}Q{SHIFT--}Q{SHIFT--}Q{SHIFT--}QQQ  QQQ{SHIFT--}Q{SHIFT--}Q{SHIFT--}Q{SHIFT--}""",2
"""highscore:""",2
"""i""",2
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",2
* blue munster *,2
* copyright by *,2
4579,2
sei,2
"""{red}{home}{down}{down}{down}{down}{down}{down}{down}""",2
"""{blue}{rvs_on}  {down}{left}{left}  {down}{down}{left}{left}  """,2
"""{home}{down}{down}{down}{down}{down}{down}{down}{right}{purple}""",2
*erich skorbier*,2
*endresstr.  15*,2
* 1230 w i e n *,2
179,2
"""{home}{white}""",2
"""     """,2
"""{SHIFT--}Q{SHIFT--}Q{SHIFT--}QQQQQ  QQQQQ{SHIFT--}Q{SHIFT--}Q{SHIFT--}""",2
"""{SHIFT--}Q{SHIFT--}QQQQQQQ  QQQQQQQ{SHIFT--}Q{SHIFT--}""",2
3900,2
8042,2
7448,2
438,2
"""{home}{down}{down}{down}""",2
"""9""",2
tx,2
5045,2
6144,2
"""          """,2
"""e""",2
"""tab.""",2
jsr,2
clc,2
plp,2
rts,2
brk,2
txa,2
bcc,2
pla,2
"""nimm schluessel""",2
"""teppich""",2
"""geh loch""",2
"""{f5}""",2
 musik,2
ie$,2
pp$,2
ip$,2
nn,2
325,2
295,2
275,2
788,2
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",2
"""{home}{down}{down}{down}{down}{down}{down}{down}""",2
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}""",2
"""truhe""",2
6030,2
"""nimm streichholz""",2
38842,2
8122,2
8160,2
ze$,2
4162,2
37954,2
38372,2
"""{rvs_on}{SHIFT--}{rvs_off}      {SHIFT--}   {SHIFT--}    {SHIFT--}    {rvs_on}{SHIFT--}""",2
38491,2
21040,2
"""nimm pflock""",2
"""paket""",2
21030,2
7176,2
"""editor""",2
14260,2
bvs,2
tya,2
""" {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off}  {rvs_on} """,2
4118,2
"""sen""",2
"""womit ?""",2
fsx,2
bne,2
iny,2
dex,2
 *diamantenmine*,2
463,2
383,2
4135,2
ai$,2
7785,2
un,2
ob,2
1230,2
"""{clr}{red}""",2
20200,2
"""mit schluessel""",2
40600,2
"""aaaaaaaaaaaaaaaaaaaaaa""",2
390,2
""",x)""",2
"""),y""",2
dey,2
7182,2
4005,2
"""p=""",2
"""s=""",2
"""{home}r=""",2
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",2
1150,2
u%,2
38652,2
8110,2
"""vc-20""",2
38586,2
jf,2
7727,2
"""a  aaaaaaaaaaaaaaaaaaa""",2
13100,2
4140,2
38748,2
7978,2
si$,2
nz,2
9040,2
bs$,2
2830,2
2930,2
"""star-wars2""",2
"""{right}{right}{right}{right}{right} m&n:""",2
"""{home}{white}sc:""",2
8182,2
sed,2
===============,2
dk,2
100000,2
6656,2
"""{clr}{down}{down}{down}{down}{down}name """,2
409,2
1450,2
1490,2
"""{left}**{down}{left}{left}**   Q Q Q Q Q Q Q""",2
"""{clr}{down}{down}***********************""",2
980,2
3120,2
"""wieviel""",2
7167,2
"""ok""",2
"""disassembler""",2
""",s,w""",2
"""-{red}""",2
38736,2
"""{down}der insel zerstoert.""",2
"""{down}treibstoff""",2
1670,2
1940,2
3190,2
3160,2
"""  """,2
"""{clr}{down}{down}{down}""",2
"""{down}zerstoert.""",2
zp,2
nop,2
inx,2
beq,2
cld,2
635,2
7161,2
2.6,2
0.1,2
8012,2
byfrogsoft,2
ltd,2
',2
lutzblomberg,2
"""{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}pqr""",2
9600,2
{CTRL-D},2
405,2
2230,2
2430,2
e5,2
1700,2
1790,2
"""d@@@@@@d@@d@@d@@ddd@@d""",2
"""d@@@@@@d@@d@@@@@@@@@@d""",2
"""d@dddd@d@@d@dddddddddd""",2
902,2
8086,2
8090,2
"""sie gehen""",2
"""le""",2
1180,2
 bugfix(rms),2
3990,2
4120,2
.7,2
3710,2
3850,2
1.8,2
781,2
833,2
7812,2
"""{home}{down}{down}{left}{left}{left}""",2
xxx,2
"""   @abcSGGGGGGPdefg  """,2
"""abc    H      O    de""",2
"""{home}{red}""",2
.66,2
"""* schiff von monster *""",2
"""r""",2
d8,2
d9,2
"""{f2}""",2
           felsen,2
"""iiiiiiiiiiiiiiiiiiiiii""",2
SAVE,2
57809,2
65493,2
STOP,2
.23,2
3270,2
"""{clr}pO43,1:pO44,28:pO7168,0""",2
"""{right}{right}{right}{right}{right}{right}{right}{right}{right}____""",2
"""regal""",2
"""{right}{right}{right}{right}{right}____________""",2
"""{right}____________________""",2
349,2
"""{down}                 {rvs_on}{red}>>>{rvs_off}""",2
"""{down}{down}{down}{right}{right}{right}{right}{red}oliver sohinger""",2
"""{right}{right}{red}""",2
21.5,2
30719,2
7948,2
37863,2
1275,2
"""{f4}""",2
"""hi""",2
"""{right}{right}{right}________________""",2
1270,2
1105,2
1135,2
"""g""",2
ti%,2
15100,2
.07,2
64802,2
zr,2
*            *,2
"""{clr}{green}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}pac-ball{down}{left}{left}{left}{left}{left}{left}{left}{left}{left}==========""",2
"""{clr}  {green}bebienungsanleitun{down}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}====================""",2
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",2
37877,2
20992,2
9100,2
"""name""",2
0.5,2
t3,2
11210,2
"""t""",2
7900,2
7431,2
3110,2
3070,2
"""du bist in der""",2
340,2
zt$,2
"""{up}                    """,2
"""{yellow}**********************{black}""",2
41500,2
"""lies zettel""",2
"""nimm kerze""",2
"""stuhl""",2
7893,2
7871,2
7826,2
1602,2
7938,2
7916,2
8117,2
"""{rvs_on}000000""",2
 -------------,2
8163,2
"""nimm kreuz""",2
"""nimm messer""",2
"""{left}   """,2
PI,2
LOG,2
"""{clr}{yellow}""",2
"""${cyan}""",2
"""&""",2
8076,2
 ----------------,2
5119,2
kz,2
530,2
"""zeichen-gen2""",1
"""(max. 6 spieler)""",1
"""{yellow}**********************{black}{down}{down}""",1
"""{red}      rangliste{black}""",1
38549,1
"""heiter""",1
"""bewoelkt""",1
"""regen""",1
"""gewitter""",1
"""hitzeperiode""",1
"""{right}{right}{right}{right}{right}{right}{right}{right}herstellen""",1
"""{down}{down}{down}{green}  leertaste druecken""",1
"""{clr}{down}{black}    e c o n o m y""",1
"""{blue}{down}{down}{down}{down}{down}{down}{down}{down}{down}  {green}{CBM-+}{red}{CBM-+}""",1
""" {rvs_on}{SHIFT-POUND}  {CBM-*}{rvs_off}""",1
"""{yellow}{CBM-+}{CBM-+}{green}{CBM-+}{CBM-+}{red}{CBM-+}{CBM-+}""",1
"""eingangshalle""",1
"""ist verschlossen""",1
"""oeffne luke""",1
"""{black}{down}eine werbetafel kostet{red}           dm""",1
"""{black}{down}ihr kapital betraegt {red}            dm""",1
"""{down}{yellow}**********************{blue}""",1
"""wieviel portionen eis stellen sie her""",1
"""{down}{rvs_on}>name max. 10 zeichen<{rvs_off}""",1
"""name des""",1
"""{left}-ten spie-""",1
"""{SHIFT--}{red}01{white}{SHIFT--}{black}02{white}{SHIFT--}{red}03{white}{SHIFT--}{black}04{white}{SHIFT--}{red}05{white}{SHIFT--}{black}06{white}{SHIFT--}{red}07{white}{SHIFT--}""",1
"""{clr}{rvs_on}          0           {rvs_off}{white}{CBM-A}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{CBM-S}""",1
"""{SHIFT--}{black}08{white}{SHIFT--}{red}09{white}{SHIFT--}{black}10{white}{SHIFT--}{black}11{white}{SHIFT--}{red}12{white}{SHIFT--}{black}13{white}{SHIFT--}{red}14{white}{SHIFT--}{white}""",1
"""{SHIFT--}{black}22{white}{SHIFT--}{red}23{white}{SHIFT--}{black}24{white}{SHIFT--}{red}25{white}{SHIFT--}{black}26{white}{SHIFT--}{red}27{white}{SHIFT--}{black}28{white}{SHIFT--}""",1
la,1
3950,1
3800,1
"""{clr}{rvs_on}{black}     Spielstand :     """,1
